symbol,cluster,rank,config_id,pf_tr,n_tr,pf_fwd,n_fwd,pf_json
ADA,1,top1,18217776,0.911607008048416,137,2.6105904052865294,79,1.911
ADA,1,mid,21861173,1.101137490312147,138,1.482218454125777,66,1.811
ADA,1,tail,18299760,0.8057963973762621,118,1.7164975813755965,61,2.564
ADA,2,top1,22328656,0.9447572682352025,504,0.9799149560610141,255,1.649
ADA,2,mid,36928048,0.9641928461457563,455,1.1113183438241083,223,2.048
ADA,2,tail,52181632,1.158459484300509,424,0.963731756856492,246,2.221
SOL,0,top1,36649230,1.1508082640490802,274,1.3262587895965787,144,3.424
SOL,0,mid,41892239,1.1380019523021316,289,1.3252159203063523,150,2.971
SOL,0,tail,38746505,1.023738213729683,266,1.2766016928225397,131,3.334
SOL,1,top1,1382985,1.7317802287892097,88,3.875704331619771,39,2.529
SOL,1,mid,12937892,1.5216048723480329,108,2.853888852522912,55,2.42
SOL,1,tail,10775077,1.370880392884693,102,2.576776366119527,50,2.001
SOL,2,top1,1413771,1.3494238866722779,213,1.6977830255153816,112,1.836
SOL,2,mid,10048255,1.0442668763768006,175,1.6596689500109756,101,2.058
SOL,2,tail,5329559,0.9291182771905104,171,1.3957839535844767,108,1.746
DOGE,0,top1,3275152,0.9993565472297637,691,1.1765357411251014,353,2.514
DOGE,0,mid,1784208,1.177985873915039,698,1.0714592750929086,341,2.531
DOGE,0,tail,1554832,0.9750727442297902,707,1.0476353576328366,370,2.316
DOGE,1,top1,21590750,1.6271398671231132,204,1.93230763794589,89,1.851
DOGE,1,mid,17371863,2.439864443827352,116,1.566309308042807,51,2.42
DOGE,1,tail,21568020,2.5575629883853948,120,1.5731794445120453,53,2.541
DOGE,2,top1,41792,0.5601446876076872,92,2.343205132796824,36,2.39
DOGE,2,mid,6808528,1.180297750159041,208,1.9200694308690374,89,2.107
DOGE,2,tail,5780304,1.2885640395243434,281,1.5341686304861366,137,1.826
DOT,0,top1,2783502,1.058109407615805,727,1.0086939861003565,392,1.992
DOT,0,mid,2685198,1.0205683721977856,744,0.938087325431221,395,1.866
