series,kind,k,W,R,pf_all,ci_low,ci_high,trades_all
PLBSH2,SHUF,2.5,50,3.0,1.1513,0.9405,1.4001,395
PLBSH2,SHUF,2.5,80,1.5,1.2692,1.0518,1.5457,424
PLBSH2,SHUF,2.5,80,2.0,1.2292,1.0172,1.4904,424
PLBSH2,SHUF,2.5,80,3.0,1.1094,0.9083,1.3452,424
PLBGB3,GBM,1.5,30,1.5,1.4316,1.3144,1.5511,2454
PLBGB3,GBM,1.5,30,2.0,1.3124,1.2074,1.4179,2454
PLBGB3,GBM,1.5,30,3.0,1.2046,1.1139,1.31,2454
PLBGB3,GBM,1.5,50,1.5,1.4736,1.3556,1.5913,2584
PLBGB3,GBM,1.5,50,2.0,1.3414,1.2352,1.4483,2584
PLBGB3,GBM,1.5,50,3.0,1.2153,1.1266,1.32,2584
PLBGB3,GBM,1.5,80,1.5,1.4816,1.3639,1.5993,2664
PLBGB3,GBM,1.5,80,2.0,1.3494,1.2456,1.4537,2664
PLBGB3,GBM,1.5,80,3.0,1.2271,1.1386,1.3293,2664
PLBGB3,GBM,2.0,30,1.5,1.4336,1.2146,1.6905,556
PLBGB3,GBM,2.0,30,2.0,1.3356,1.1317,1.5791,556
PLBGB3,GBM,2.0,30,3.0,1.1992,1.0219,1.4207,556
PLBGB3,GBM,2.0,50,1.5,1.496,1.2719,1.7725,600
PLBGB3,GBM,2.0,50,2.0,1.362,1.16,1.5915,600
PLBGB3,GBM,2.0,50,3.0,1.234,1.0507,1.4527,600
PLBGB3,GBM,2.0,80,1.5,1.5131,1.2866,1.7676,630
PLBGB3,GBM,2.0,80,2.0,1.394,1.1886,1.639,630
PLBGB3,GBM,2.0,80,3.0,1.2724,1.0789,1.4852,630
PLBGB3,GBM,2.5,30,1.5,1.5983,0.9965,2.6385,82
PLBGB3,GBM,2.5,30,2.0,1.5653,1.0507,2.421,82
PLBGB3,GBM,2.5,30,3.0,1.4377,0.9145,2.2408,82
PLBGB3,GBM,2.5,50,1.5,1.7036,1.0892,2.7385,88
PLBGB3,GBM,2.5,50,2.0,1.6227,1.0217,2.5746,88
PLBGB3,GBM,2.5,50,3.0,1.5384,0.966,2.3283,88
PLBGB3,GBM,2.5,80,1.5,1.7344,1.151,2.8429,98
PLBGB3,GBM,2.5,80,2.0,1.6657,1.0964,2.5259,98
PLBGB3,GBM,2.5,80,3.0,1.5439,1.0205,2.3356,98
PLBSH3,SHUF,1.5,30,1.5,1.328,1.2039,1.4576,1800
PLBSH3,SHUF,1.5,30,2.0,1.1304,1.025,1.2356,1800
PLBSH3,SHUF,1.5,30,3.0,0.9503,0.8614,1.0504,1800
PLBSH3,SHUF,1.5,50,1.5,1.3439,1.2209,1.4696,1937
PLBSH3,SHUF,1.5,50,2.0,1.1574,1.0525,1.26,1937
PLBSH3,SHUF,1.5,50,3.0,0.9579,0.8753,1.053,1937
PLBSH3,SHUF,1.5,80,1.5,1.373,1.2492,1.4996,2024
PLBSH3,SHUF,1.5,80,2.0,1.1802,1.0755,1.2828,2024
PLBSH3,SHUF,1.5,80,3.0,0.9863,0.9034,1.0836,2024
PLBSH3,SHUF,2.0,30,1.5,1.4232,1.2194,1.6735,695
PLBSH3,SHUF,2.0,30,2.0,1.1753,1.006,1.3673,695
PLBSH3,SHUF,2.0,30,3.0,0.9393,0.8008,1.1009,695
PLBSH3,SHUF,2.0,50,1.5,1.4415,1.2377,1.6918,768
PLBSH3,SHUF,2.0,50,2.0,1.2122,1.0472,1.3985,768
PLBSH3,SHUF,2.0,50,3.0,0.9646,0.8327,1.1175,768
PLBSH3,SHUF,2.0,80,1.5,1.5018,1.297,1.7421,810
PLBSH3,SHUF,2.0,80,2.0,1.2572,1.0937,1.4335,810
PLBSH3,SHUF,2.0,80,3.0,0.993,0.865,1.1466,810
PLBSH3,SHUF,2.5,30,1.5,1.5712,1.2486,2.0164,285
PLBSH3,SHUF,2.5,30,2.0,1.1478,0.9162,1.4445,285
PLBSH3,SHUF,2.5,30,3.0,0.9315,0.7251,1.1781,285
PLBSH3,SHUF,2.5,50,1.5,1.5621,1.2732,1.977,325
PLBSH3,SHUF,2.5,50,2.0,1.1746,0.9519,1.4759,325
PLBSH3,SHUF,2.5,50,3.0,0.9609,0.7658,1.1924,325
PLBSH3,SHUF,2.5,80,1.5,1.6102,1.307,2.019,343
PLBSH3,SHUF,2.5,80,2.0,1.2288,0.9942,1.5281,343
PLBSH3,SHUF,2.5,80,3.0,0.9893,0.7885,1.2135,343
