series,kind,ma_type,fast,slow,hyst,pf,ci_low,ci_high,trades
PLBSH1,SHUF,ALMA,8,40,0.0,0.818,0.7433,0.9053,1992
PLBSH1,SHUF,ALMA,8,40,0.5,0.9043,0.7947,1.0315,1060
PLBSH1,SHUF,ALMA,10,55,0.0,0.8628,0.7758,0.9672,1507
PLBSH1,SHUF,ALMA,10,55,0.5,0.8981,0.7765,1.0365,871
PLBSH1,SHUF,ALMA,12,60,0.0,0.858,0.7733,0.9676,1354
PLBSH1,SHUF,ALMA,12,60,0.5,0.8556,0.7336,0.9949,813
PLBSH1,SHUF,McGinley,8,40,0.0,0.7953,0.6651,0.9365,748
PLBSH1,SHUF,McGinley,8,40,0.5,0.9047,0.7318,1.113,408
PLBSH1,SHUF,McGinley,10,55,0.0,0.8581,0.6946,1.0376,559
PLBSH1,SHUF,McGinley,10,55,0.5,0.8998,0.7108,1.1012,346
PLBSH1,SHUF,McGinley,12,60,0.0,0.8847,0.7068,1.0802,495
PLBSH1,SHUF,McGinley,12,60,0.5,0.9273,0.7261,1.1738,316
PLBSH1,SHUF,VWMA,8,40,0.0,0.9413,0.8202,1.0823,970
PLBSH1,SHUF,VWMA,8,40,0.5,0.8735,0.7495,1.0238,662
PLBSH1,SHUF,VWMA,10,55,0.0,0.8353,0.7229,0.9749,753
PLBSH1,SHUF,VWMA,10,55,0.5,0.8754,0.7229,1.0481,512
PLBSH1,SHUF,VWMA,12,60,0.0,0.8401,0.7078,0.9861,663
PLBSH1,SHUF,VWMA,12,60,0.5,0.9157,0.7577,1.1045,484
PLBGB2,GBM,SMA,8,40,0.0,0.9218,0.807,1.0565,937
PLBGB2,GBM,SMA,8,40,0.5,0.8078,0.6965,0.9405,750
PLBGB2,GBM,SMA,10,55,0.0,0.8341,0.7118,0.9685,797
PLBGB2,GBM,SMA,10,55,0.5,0.7691,0.6453,0.9058,655
PLBGB2,GBM,SMA,12,60,0.0,0.7983,0.6815,0.9328,742
PLBGB2,GBM,SMA,12,60,0.5,0.7796,0.6541,0.9248,626
PLBGB2,GBM,EMA,8,40,0.0,0.8604,0.74,0.9904,924
PLBGB2,GBM,EMA,8,40,0.5,0.8279,0.6882,0.9832,567
PLBGB2,GBM,EMA,10,55,0.0,0.8917,0.7481,1.0563,670
PLBGB2,GBM,EMA,10,55,0.5,0.8419,0.6853,1.0164,510
PLBGB2,GBM,EMA,12,60,0.0,0.832,0.693,0.9843,621
PLBGB2,GBM,EMA,12,60,0.5,0.8068,0.6512,0.9797,490
PLBGB2,GBM,HMA,8,40,0.0,0.947,0.8741,1.0315,2442
PLBGB2,GBM,HMA,8,40,0.5,0.8995,0.8154,0.9952,1645
PLBGB2,GBM,HMA,10,55,0.0,0.9317,0.8514,1.0261,1963
PLBGB2,GBM,HMA,10,55,0.5,0.885,0.7942,0.9894,1391
PLBGB2,GBM,HMA,12,60,0.0,0.9091,0.8235,1.0034,1751
PLBGB2,GBM,HMA,12,60,0.5,0.9138,0.8188,1.027,1281
PLBGB2,GBM,ZLEMA,8,40,0.0,0.958,0.8813,1.0468,2346
PLBGB2,GBM,ZLEMA,8,40,0.5,0.9204,0.8267,1.0315,1326
PLBGB2,GBM,ZLEMA,10,55,0.0,0.9357,0.8496,1.0351,1759
PLBGB2,GBM,ZLEMA,10,55,0.5,0.9492,0.8468,1.0767,1100
PLBGB2,GBM,ZLEMA,12,60,0.0,0.9146,0.8243,1.0199,1549
PLBGB2,GBM,ZLEMA,12,60,0.5,0.9182,0.8219,1.0429,1061
PLBGB2,GBM,KAMA,8,40,0.0,0.9179,0.7663,1.0799,634
PLBGB2,GBM,KAMA,8,40,0.5,0.9055,0.7398,1.0902,514
PLBGB2,GBM,KAMA,10,55,0.0,0.8825,0.7298,1.0602,551
PLBGB2,GBM,KAMA,10,55,0.5,0.8339,0.6676,1.0085,480
PLBGB2,GBM,KAMA,12,60,0.0,0.841,0.6875,1.0105,543
PLBGB2,GBM,KAMA,12,60,0.5,0.7489,0.6031,0.9093,463
PLBGB2,GBM,VIDYA,8,40,0.0,0.9782,0.7355,1.2776,268
PLBGB2,GBM,VIDYA,8,40,0.5,0.9908,0.7031,1.3493,240
PLBGB2,GBM,VIDYA,10,55,0.0,0.9111,0.6332,1.2594,217
PLBGB2,GBM,VIDYA,10,55,0.5,0.8783,0.6139,1.2484,181
PLBGB2,GBM,VIDYA,12,60,0.0,0.928,0.6391,1.2963,181
PLBGB2,GBM,VIDYA,12,60,0.5,0.931,0.6386,1.3096,159
PLBGB2,GBM,FRAMA,8,40,0.0,0.8534,0.7819,0.939,1850
PLBGB2,GBM,FRAMA,8,40,0.5,0.8451,0.7372,0.9639,941
PLBGB2,GBM,FRAMA,10,55,0.0,0.9202,0.843,1.016,1697
PLBGB2,GBM,FRAMA,10,55,0.5,0.9103,0.7897,1.0494,830
PLBGB2,GBM,FRAMA,12,60,0.0,0.9318,0.8529,1.027,1768
PLBGB2,GBM,FRAMA,12,60,0.5,0.8427,0.7408,0.9638,907
PLBGB2,GBM,TEMA,8,40,0.0,0.9599,0.8815,1.0509,2230
PLBGB2,GBM,TEMA,8,40,0.5,0.9002,0.8072,1.0078,1260
PLBGB2,GBM,TEMA,10,55,0.0,0.9262,0.8379,1.0205,1770
PLBGB2,GBM,TEMA,10,55,0.5,0.9961,0.886,1.1299,1049
PLBGB2,GBM,TEMA,12,60,0.0,0.9069,0.8181,1.0129,1557
PLBGB2,GBM,TEMA,12,60,0.5,1.0164,0.9052,1.1624,961
PLBGB2,GBM,DEMA,8,40,0.0,0.8893,0.8027,0.9895,1648
PLBGB2,GBM,DEMA,8,40,0.5,0.9244,0.808,1.0569,956
PLBGB2,GBM,DEMA,10,55,0.0,0.9059,0.8076,1.0216,1312
PLBGB2,GBM,DEMA,10,55,0.5,0.9309,0.8078,1.0724,809
PLBGB2,GBM,DEMA,12,60,0.0,0.895,0.7875,1.0146,1167
PLBGB2,GBM,DEMA,12,60,0.5,0.9081,0.7801,1.0499,780
PLBGB2,GBM,T3,8,40,0.0,0.8993,0.7803,1.0356,851
PLBGB2,GBM,T3,8,40,0.5,0.8471,0.7256,0.9873,740
PLBGB2,GBM,T3,10,55,0.0,0.8008,0.684,0.9347,717
PLBGB2,GBM,T3,10,55,0.5,0.7642,0.6414,0.9008,661
PLBGB2,GBM,T3,12,60,0.0,0.7998,0.6836,0.9345,675
PLBGB2,GBM,T3,12,60,0.5,0.7869,0.663,0.9308,624
PLBGB2,GBM,Tenkan,8,40,0.0,0.9204,0.8052,1.0559,928
PLBGB2,GBM,Tenkan,8,40,0.5,0.8378,0.7195,0.9686,780
PLBGB2,GBM,Tenkan,10,55,0.0,0.7899,0.6703,0.9159,788
PLBGB2,GBM,Tenkan,10,55,0.5,0.7703,0.6598,0.9038,669
PLBGB2,GBM,Tenkan,12,60,0.0,0.7489,0.6465,0.8766,727
PLBGB2,GBM,Tenkan,12,60,0.5,0.7727,0.6483,0.917,615
PLBGB2,GBM,ALMA,8,40,0.0,0.9387,0.8524,1.0326,1995
PLBGB2,GBM,ALMA,8,40,0.5,0.9829,0.8799,1.1161,1068
PLBGB2,GBM,ALMA,10,55,0.0,0.9936,0.8931,1.111,1478
PLBGB2,GBM,ALMA,10,55,0.5,1.0099,0.8834,1.1548,885
PLBGB2,GBM,ALMA,12,60,0.0,1.0037,0.9001,1.1261,1319
PLBGB2,GBM,ALMA,12,60,0.5,0.995,0.8647,1.1443,856
PLBGB2,GBM,McGinley,8,40,0.0,0.8619,0.747,1.0032,809
PLBGB2,GBM,McGinley,8,40,0.5,0.7711,0.6372,0.9195,570
PLBGB2,GBM,McGinley,10,55,0.0,0.8414,0.7002,0.9959,628
PLBGB2,GBM,McGinley,10,55,0.5,0.7724,0.6247,0.9357,506
PLBGB2,GBM,McGinley,12,60,0.0,0.821,0.6756,0.9818,571
PLBGB2,GBM,McGinley,12,60,0.5,0.7101,0.5708,0.8544,492
PLBGB2,GBM,VWMA,8,40,0.0,0.9488,0.8341,1.0836,973
PLBGB2,GBM,VWMA,8,40,0.5,0.8147,0.6951,0.9463,756
PLBGB2,GBM,VWMA,10,55,0.0,0.8115,0.6991,0.9394,841
PLBGB2,GBM,VWMA,10,55,0.5,0.7498,0.6278,0.8851,665
PLBGB2,GBM,VWMA,12,60,0.0,0.7831,0.6721,0.9106,764
PLBGB2,GBM,VWMA,12,60,0.5,0.7799,0.6585,0.9208,628
PLBSH2,SHUF,SMA,8,40,0.0,1.0192,0.882,1.1699,893
PLBSH2,SHUF,SMA,8,40,0.5,0.982,0.8368,1.152,684
PLBSH2,SHUF,SMA,10,55,0.0,0.972,0.8276,1.1325,719
PLBSH2,SHUF,SMA,10,55,0.5,0.9388,0.7892,1.1064,585
PLBSH2,SHUF,SMA,12,60,0.0,0.985,0.8353,1.1583,665
PLBSH2,SHUF,SMA,12,60,0.5,0.9545,0.798,1.1308,564
PLBSH2,SHUF,EMA,8,40,0.0,1.0101,0.8623,1.1711,817
PLBSH2,SHUF,EMA,8,40,0.5,0.9315,0.7676,1.1157,525
PLBSH2,SHUF,EMA,10,55,0.0,0.9442,0.7873,1.1165,643
PLBSH2,SHUF,EMA,10,55,0.5,0.9702,0.7874,1.1771,467
PLBSH2,SHUF,EMA,12,60,0.0,0.9699,0.804,1.1545,563
PLBSH2,SHUF,EMA,12,60,0.5,0.8565,0.6923,1.0409,460
PLBSH2,SHUF,HMA,8,40,0.0,0.8789,0.8103,0.9585,2383
PLBSH2,SHUF,HMA,8,40,0.5,0.9349,0.8481,1.0338,1644
PLBSH2,SHUF,HMA,10,55,0.0,0.9772,0.8921,1.0752,1904
PLBSH2,SHUF,HMA,10,55,0.5,1.0305,0.9259,1.1517,1330
PLBSH2,SHUF,HMA,12,60,0.0,0.9723,0.8808,1.0733,1726
PLBSH2,SHUF,HMA,12,60,0.5,0.9919,0.8892,1.111,1244
PLBSH2,SHUF,ZLEMA,8,40,0.0,0.8843,0.8119,0.9684,2252
PLBSH2,SHUF,ZLEMA,8,40,0.5,1.0023,0.8995,1.1178,1320
PLBSH2,SHUF,ZLEMA,10,55,0.0,0.963,0.8719,1.0682,1719
PLBSH2,SHUF,ZLEMA,10,55,0.5,0.9497,0.8463,1.0792,1070
PLBSH2,SHUF,ZLEMA,12,60,0.0,0.9582,0.8623,1.0704,1480
PLBSH2,SHUF,ZLEMA,12,60,0.5,0.9541,0.851,1.0885,1009
