sym,anchor,entry_T,exit_T,side,pnl_pct,reason,k
BTC,2025-10-01,2025-12-02 08:00:00+00:00,2025-12-02 11:00:00+00:00,short,-0.2986,tf_exit,1
BTC,2025-10-01,2025-12-02 13:00:00+00:00,2025-12-02 14:00:00+00:00,short,-0.5354,tf_exit,1
BTC,2025-10-01,2025-12-05 07:00:00+00:00,2025-12-05 08:00:00+00:00,long,-0.018,div_exit,1
BTC,2025-10-01,2025-12-05 09:00:00+00:00,2025-12-05 10:00:00+00:00,long,-1.0677,tf_exit,1
BTC,2025-10-01,2025-12-14 21:00:00+00:00,2025-12-15 03:00:00+00:00,short,-0.8614,not_operable,1
BTC,2025-10-01,2025-12-15 20:00:00+00:00,2025-12-16 11:00:00+00:00,short,-0.9635,tf_exit,1
BTC,2025-10-01,2025-12-16 13:00:00+00:00,2025-12-16 16:00:00+00:00,short,-0.8765,tf_exit,1
BTC,2025-10-01,2025-12-16 17:00:00+00:00,2025-12-16 19:00:00+00:00,short,-0.2205,not_operable,1
BTC,2025-10-01,2025-12-17 07:00:00+00:00,2025-12-17 09:00:00+00:00,short,0.4406,div_exit,1
BTC,2025-10-01,2025-12-17 10:00:00+00:00,2025-12-17 13:00:00+00:00,short,-0.7083,tf_exit,1
BTC,2025-10-01,2025-12-22 23:00:00+00:00,2025-12-23 03:00:00+00:00,long,-0.5112,not_operable,1
BTC,2025-10-01,2026-01-02 18:00:00+00:00,2026-01-02 19:00:00+00:00,long,-0.6611,not_operable,1
BTC,2025-10-01,2026-01-03 01:00:00+00:00,2026-01-03 11:00:00+00:00,long,-0.4456,not_operable,1
BTC,2025-10-01,2026-01-04 07:00:00+00:00,2026-01-05 12:00:00+00:00,long,2.0789,div_exit,1
BTC,2025-10-01,2026-01-05 13:00:00+00:00,2026-01-06 04:00:00+00:00,long,0.9636,zone_exit,1
BTC,2025-10-01,2026-01-13 21:00:00+00:00,2026-01-15 10:00:00+00:00,long,2.7879,div_exit,1
BTC,2025-10-01,2026-01-15 11:00:00+00:00,2026-01-15 14:00:00+00:00,long,0.029,zone_exit,1
BTC,2025-10-01,2026-01-15 15:00:00+00:00,2026-01-15 19:00:00+00:00,long,-0.2378,tf_exit,1
BTC,2025-10-01,2026-01-19 00:00:00+00:00,2026-01-19 23:00:00+00:00,short,1.1822,div_exit,1
BTC,2025-10-01,2026-01-20 00:00:00+00:00,2026-01-20 04:00:00+00:00,short,0.2117,div_exit,1
BTC,2025-10-01,2026-01-20 05:00:00+00:00,2026-01-20 06:00:00+00:00,short,0.4762,div_exit,1
BTC,2025-10-01,2026-01-20 07:00:00+00:00,2026-01-20 18:00:00+00:00,short,1.2697,div_exit,1
BTC,2025-10-01,2026-01-20 19:00:00+00:00,2026-01-21 02:00:00+00:00,short,0.5364,zone_exit,1
BTC,2025-10-01,2026-01-25 22:00:00+00:00,2026-01-26 02:00:00+00:00,short,-1.3056,not_operable,1
