sym,anchor,entry_T,exit_T,side,pnl_pct,reason,k
SOL,2026-02-01,2026-03-29 00:00:00+00:00,2026-03-29 01:00:00+00:00,short,-0.1462,cancel_tf,0
SOL,2026-02-01,2026-03-29 15:00:00+00:00,2026-03-29 16:00:00+00:00,short,0.1464,tf_exit,0
SOL,2026-02-01,2026-03-29 17:00:00+00:00,2026-03-29 21:00:00+00:00,short,-0.2692,cancel_tf,0
SOL,2026-02-01,2026-03-29 23:00:00+00:00,2026-03-30 00:00:00+00:00,short,-0.6301,tf_exit,0
SOL,2026-02-01,2026-04-17 20:00:00+00:00,2026-04-17 21:00:00+00:00,long,-0.2689,tf_exit,0
SOL,2026-02-01,2026-04-18 00:00:00+00:00,2026-04-18 01:00:00+00:00,long,0.2253,not_operable,0
SOL,2026-02-01,2026-04-21 20:00:00+00:00,2026-04-21 21:00:00+00:00,short,-1.0051,cancel_tf,0
SOL,2026-02-01,2026-04-22 00:00:00+00:00,2026-04-22 02:00:00+00:00,long,0.2673,zone_exit,0
SOL,2026-02-01,2026-04-28 20:00:00+00:00,2026-04-29 04:00:00+00:00,short,-0.8463,tf_exit,0
SOL,2026-02-01,2026-04-29 16:00:00+00:00,2026-04-29 20:00:00+00:00,short,1.2613,tf_exit,0
SOL,2026-02-01,2026-04-29 21:00:00+00:00,2026-04-30 00:00:00+00:00,short,-0.5205,zone_exit,0
SOL,2026-02-01,2026-04-30 23:00:00+00:00,2026-05-01 01:00:00+00:00,short,-0.4225,cancel_tf,0
SOL,2026-02-01,2026-05-04 18:00:00+00:00,2026-05-04 21:00:00+00:00,long,-1.0007,tf_exit,0
SOL,2026-02-01,2026-05-05 00:00:00+00:00,2026-05-05 04:00:00+00:00,long,0.7847,tf_exit,0
SOL,2026-02-01,2026-05-05 06:00:00+00:00,2026-05-05 11:00:00+00:00,long,-0.0353,tf_exit,0
SOL,2026-02-01,2026-05-07 08:00:00+00:00,2026-05-07 09:00:00+00:00,long,-0.6432,cancel_tf,0
SOL,2026-02-01,2026-05-08 00:00:00+00:00,2026-05-08 01:00:00+00:00,long,-0.1809,tf_exit,0
SOL,2026-02-01,2026-05-08 11:00:00+00:00,2026-05-08 12:00:00+00:00,long,0.0,tf_exit,0
SOL,2026-02-01,2026-05-08 15:00:00+00:00,2026-05-08 19:00:00+00:00,long,3.5442,zone_exit,0
SOL,2026-02-01,2026-05-10 10:00:00+00:00,2026-05-10 13:00:00+00:00,long,-1.0603,tf_exit,0
SOL,2026-02-01,2026-05-10 17:00:00+00:00,2026-05-10 20:00:00+00:00,long,1.7187,tf_exit,0
SOL,2026-02-01,2026-05-11 21:00:00+00:00,2026-05-12 02:00:00+00:00,long,-1.3826,sl_hit,1
SOL,2026-02-01,2026-05-15 15:00:00+00:00,2026-05-15 18:00:00+00:00,short,-0.8535,sl_hit,1
