symbol,side,entry_T,exit_T,entry_price,exit_price,pnl_pct,reason_exit,k_entry,cfg,gen
RENDER,short,2026-05-25 13:00:00+00:00,2026-05-25 15:00:00+00:00,2.074,2.1776999999999997,-5.0,sl_emergency,2,53034048,G2
TRX,long,2026-05-25 13:00:00+00:00,2026-05-25 16:00:00+00:00,0.3699,0.3706,0.1892,low_confidence,0,50854496,G1
TRX,long,2026-05-25 17:00:00+00:00,2026-05-25 19:00:00+00:00,0.3734,0.373,-0.1071,low_confidence,0,50854496,G1
ONDO,short,2026-05-26 01:00:00+00:00,2026-05-26 02:00:00+00:00,0.4161,0.4102,1.4179,zone_exit,1,47741459,G2
RENDER,short,2026-05-26 00:00:00+00:00,2026-05-26 05:00:00+00:00,2.184,2.269,-3.8919,sl_hit,2,53034048,G2
ONDO,long,2026-05-26 20:00:00+00:00,2026-05-26 21:00:00+00:00,0.4078,0.4132,1.3242,low_confidence,1,47741459,G2
RENDER,long,2026-05-26 06:00:00+00:00,2026-05-27 01:00:00+00:00,2.301,2.338,1.608,zone_exit,2,53034048,G2
ONDO,long,2026-05-27 03:00:00+00:00,2026-05-27 04:00:00+00:00,0.4096,0.4076,-0.4883,tf_exit,1,47741459,G2
ETH,long,2026-05-27 08:00:00+00:00,2026-05-27 10:00:00+00:00,2083.77,2083.36,-0.0197,low_confidence,1,34186048,G1
RENDER,short,2026-05-27 05:00:00+00:00,2026-05-28 03:00:00+00:00,2.266,2.048,9.6205,low_confidence,2,53034048,G2
RENDER,short,2026-05-28 04:00:00+00:00,2026-05-28 05:00:00+00:00,2.014,2.034,-0.993,low_confidence,2,53034048,G2
RENDER,short,2026-05-28 06:00:00+00:00,2026-05-28 08:00:00+00:00,2.003,2.013,-0.4993,low_confidence,2,53034048,G2
RENDER,short,2026-05-28 09:00:00+00:00,2026-05-28 10:00:00+00:00,1.996,2.017,-1.0521,low_confidence,2,53034048,G2
XRP,short,2026-05-28 01:00:00+00:00,2026-05-28 17:00:00+00:00,1.3097,1.3238,-1.0766,not_operable,0,55065101,G1
ONDO,long,2026-05-28 20:00:00+00:00,2026-05-28 23:00:00+00:00,0.3696,0.3676,-0.5411,sl_hit,1,47741459,G2
RENDER,short,2026-05-28 11:00:00+00:00,2026-05-29 01:00:00+00:00,1.977,2.063,-4.35,sl_hit,2,53034048,G2
POL,short,2026-05-29 04:00:00+00:00,2026-05-29 05:00:00+00:00,0.08705,0.08749,-0.5055,cancel_tf,1,30437930,G2
ONDO,long,2026-05-29 03:00:00+00:00,2026-05-29 08:00:00+00:00,0.3688,0.3689,0.0271,tf_exit,1,47741459,G2
POL,short,2026-05-29 08:00:00+00:00,2026-05-29 09:00:00+00:00,0.08833,0.08846,-0.1472,tf_exit,1,30437930,G2
BTC,short,2026-05-27 23:00:00+00:00,2026-05-29 15:00:00+00:00,74418.12,73096.84,1.7755,zone_exit,0,33831198,G1
POL,short,2026-05-29 13:00:00+00:00,2026-05-29 16:00:00+00:00,0.08762,0.08884,-1.3924,sl_hit,1,30437930,G2
ONDO,long,2026-05-30 02:00:00+00:00,2026-05-30 04:00:00+00:00,0.3522,0.3494,-0.795,sl_hit,1,47741459,G2
TAO,short,2026-05-30 13:00:00+00:00,2026-05-30 15:00:00+00:00,252.9,255.8,-1.1467,div_exit,0,52460896,G2
RENDER,short,2026-05-29 21:00:00+00:00,2026-05-31 07:00:00+00:00,2.013,2.137,-6.16,low_confidence,2,53034048,G2
RENDER,long,2026-05-31 08:00:00+00:00,2026-05-31 09:00:00+00:00,2.096,2.113,0.8111,low_confidence,2,53034048,G2
ONDO,short,2026-06-01 00:00:00+00:00,2026-06-01 01:00:00+00:00,0.3641,0.3705,-1.7578,tf_exit,2,29980978,G2
ONDO,short,2026-06-01 04:00:00+00:00,2026-06-01 06:00:00+00:00,0.37,0.3575,3.3784,div_exit,2,29980978,G2
ONDO,short,2026-06-01 07:00:00+00:00,2026-06-01 10:00:00+00:00,0.3545,0.3611,-1.8618,sl_hit,2,29980978,G2
RENDER,short,2026-06-01 08:00:00+00:00,2026-06-01 11:00:00+00:00,2.044,2.032,0.5871,zone_exit,2,53034048,G2
ONDO,short,2026-06-01 12:00:00+00:00,2026-06-01 13:00:00+00:00,0.3524,0.3542,-0.5108,tf_exit,2,29980978,G2
BTC,short,2026-06-01 15:00:00+00:00,2026-06-01 16:00:00+00:00,71567.91,71129.62,0.6124,div_exit,0,33831198,G1
ONDO,short,2026-06-01 15:00:00+00:00,2026-06-01 17:00:00+00:00,0.3457,0.3554,-2.8059,sl_hit,2,29980978,G2
ONDO,short,2026-06-01 20:00:00+00:00,2026-06-02 00:00:00+00:00,0.3581,0.3568,0.363,tf_exit,2,29980978,G2
POL,long,2026-06-01 17:00:00+00:00,2026-06-02 00:00:00+00:00,0.09387,0.0941,0.245,cancel_tf,1,30437930,G2
ONDO,short,2026-06-02 01:00:00+00:00,2026-06-02 04:00:00+00:00,0.3519,0.3644,-3.5521,sl_hit,2,29980978,G2
RENDER,short,2026-06-01 22:00:00+00:00,2026-06-02 04:00:00+00:00,2.102,2.2071,-5.0,sl_emergency,2,53034048,G2
